Date,Time(ET),Symbol,Side,Action,Qty,Price,Notional,Reason,OrderID
2026-07-22,15:55,DRAM,long,EXIT,28,58.08,,trail-stop,
2026-07-23,09:55,PATH,long,ENTRY,161,10.92,1758.68,ORB long stop10.61 trail0.21,
2026-07-23,10:10,PATH,long,EXIT,161,10.73,,trail-stop,
2026-07-24,09:50,CMCSA,long,ENTRY,54,22.22,1199.88,ORB long stop21.29 trail0.37,
2026-07-24,09:50,AAL,long,ENTRY,143,13.99,2000.57,ORB long stop13.68 trail0.21,
2026-07-24,09:55,QS,short,ENTRY,200,4.84,968.00,ORB short stop5.10 trail0.11,
2026-07-24,09:55,MARA,short,ENTRY,98,12.22,1197.11,ORB short stop12.71 trail0.28,
2026-07-24,10:05,MARA,short,EXIT,88,12.45,,trail-stop-partial,
2026-07-24,10:30,QS,short,EXIT,200,4.92,,trail-stop,
2026-07-24,10:30,T,long,ENTRY,73,23.65,1726.45,ORB long stop23.04 trail0.26,
2026-07-24,12:15,T,long,EXIT,65,23.69,,trail-stop-partial,
2026-07-24,14:20,AAL,long,EXIT,143,14.35,,trail-stop,
2026-07-24,15:50,CMCSA,long,EXIT,54,22.21,,eod-flatten,
2026-07-24,15:55,MARA,short,EXIT,10,12.43,,trail-stop,
2026-07-24,15:55,T,long,EXIT,8,23.72,,trail-stop,
2026-07-27,09:55,INTC,short,ENTRY,16,91.89,1470.24,ORB short stop94.97 trail1.69,
